Text Type,Institution Type,Rule/Norm/Strategy,Level of Analysis,Attribute_lo,Attribute_hi,Attribute_position,Deontic_lo,Deontic_hi,Deontic_position,aIm_lo,aIm_hi,aIm_position,oBject_lo,oBject_hi,oBject_position,Or Else_lo,Or Else_hi,Or Else_position,Condition_lo,Condition_hi,Condition_position
1.0,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
1.0,0.9,0.5,0.4,0.9,0.9,0.8333333333333334,0.8,0.8,0.75,0.9,0.9,0.75,0.9,0.9,0.75,0.8,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334
0.8,0.6,0.3,0.3,0.5,0.5,0.42857142857142855,0.4,0.5,0.35714285714285715,0.3,0.7,0.5,0.3,0.7,0.2857142857142857,0.8,1.0,0.7142857142857143,0.5,0.7,0.35714285714285715
0.5,0.5,0.3,0.3,0.5,0.5,5.0,0.5,0.5,5.0,0.5,0.5,4.5,0.5,0.5,2.5,0.8,1.0,5.0,1.0,1.0,5.0
1.0,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
1.0,1.0,0.5,0.4,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
1.0,1.0,0.5,0.4,1.0,1.0,0.7692307692307693,1.0,1.0,0.7692307692307693,1.0,1.0,0.7692307692307693,1.0,1.0,0.7692307692307693,0.8,1.0,0.7692307692307693,1.0,1.0,0.7692307692307693
0.9,1.0,0.5,0.4,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.9,0.7,0.2,0.3,0.6,0.6,0.46153846153846156,0.3,0.6,0.46153846153846156,0.5,0.8,0.38461538461538464,0.4,0.9,0.46153846153846156,0.8,1.0,0.7692307692307693,0.5,0.8,0.5384615384615384
0.8,0.4,0.2,0.4,0.6,0.6,0.4,0.6,0.7,0.4,0.8,0.9,0.6,0.9,0.9,0.6,0.8,1.0,0.6666666666666666,0.5,0.9,0.4666666666666667
0.6,0.4,0.3,0.3,0.6,0.6,0.6,0.3,0.3,0.8,0.4,0.6,0.4,0.4,0.6,0.4,0.8,1.0,1.0,1.0,1.0,1.0
0.5,1.0,0.5,0.4,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.9,0.6,0.3,0.2,0.7,0.7,2.0,0.7,0.9,2.0,0.7,0.7,1.6,0.9,0.9,1.8,0.3,0.5,2.0,1.0,1.0,2.0
0.9,0.6,0.3,0.2,0.6,0.6,0.7692307692307693,0.4,0.4,0.46153846153846156,0.2,0.5,0.6923076923076923,0.4,0.6,0.3076923076923077,0.4,0.6,0.7692307692307693,0.4,0.5,0.38461538461538464
0.9,0.6,0.3,0.2,0.6,0.6,0.47619047619047616,0.7,0.8,0.47619047619047616,0.2,0.4,0.2857142857142857,0.2,0.5,0.19047619047619047,0.4,0.6,0.47619047619047616,0.3,0.7,0.19047619047619047
0.7,0.6,0.3,0.2,0.6,0.6,0.625,0.7,0.7,0.625,0.8,0.8,0.5625,0.8,0.8,0.625,0.4,0.6,0.625,0.8,0.8,0.5625
0.9,0.3,0.3,0.2,0.6,0.6,1.6666666666666667,0.5,0.6,1.6666666666666667,0.4,0.4,1.6666666666666667,0.4,0.6,1.1666666666666667,0.5,0.5,1.6666666666666667,1.0,1.0,1.6666666666666667
0.7,0.4,0.3,0.2,0.6,0.6,0.5555555555555556,0.4,0.4,0.3888888888888889,0.4,0.5,0.2777777777777778,0.4,0.5,0.2777777777777778,0.4,0.6,0.5555555555555556,0.6,0.6,0.3333333333333333
0.7,0.6,0.3,0.4,0.5,0.5,0.5882352941176471,0.5,0.5,0.5882352941176471,0.6,0.6,0.47058823529411764,0.6,0.6,0.4117647058823529,0.2,0.4,0.47058823529411764,0.7,0.7,0.5882352941176471
0.4,0.5,0.3,0.2,0.7,0.7,0.6428571428571429,0.7,0.7,0.6428571428571429,0.8,0.8,0.6428571428571429,0.8,0.8,0.6428571428571429,0.8,1.0,0.7142857142857143,0.8,0.8,0.5714285714285714
0.6,1.0,0.5,0.4,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.7,0.9,0.5,0.4,0.9,0.9,3.3333333333333335,0.9,0.9,3.3333333333333335,0.9,0.9,3.0,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.9,1.0,0.5,0.4,1.0,1.0,0.2127659574468085,1.0,1.0,0.2127659574468085,1.0,1.0,0.2127659574468085,1.0,1.0,0.2127659574468085,0.8,1.0,0.2127659574468085,1.0,1.0,0.2127659574468085
0.6,0.4,0.4,0.4,0.4,0.4,0.25925925925925924,0.4,0.5,0.2222222222222222,0.4,0.6,0.18518518518518517,0.5,0.5,0.18518518518518517,0.7,0.9,0.37037037037037035,0.4,0.6,0.18518518518518517
0.5,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.8,0.6,0.3,0.2,0.5,0.5,0.625,0.5,0.5,0.625,0.5,0.5,0.4375,0.5,0.5,0.3125,0.4,0.6,0.625,0.6,0.6,0.4375
0.6,1.0,0.5,0.4,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.7,0.9,0.42857142857142855,1.0,1.0,0.47619047619047616
0.9,0.7,0.3,0.2,0.6,0.6,2.5,0.6,0.6,2.5,0.6,0.6,1.75,0.6,0.6,1.75,0.4,0.6,2.5,1.0,1.0,2.5
0.4,0.9,0.4,0.3,0.9,0.9,0.7692307692307693,0.9,0.9,0.7692307692307693,0.9,0.9,0.6923076923076923,0.9,0.9,0.6923076923076923,0.7,0.9,0.6923076923076923,1.0,1.0,0.7692307692307693
0.9,0.7,0.3,0.2,0.6,0.6,0.8333333333333334,0.6,0.6,0.8333333333333334,0.6,0.6,0.8333333333333334,0.6,0.6,0.75,0.4,0.6,0.8333333333333334,0.9,0.9,0.75
0.7,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,1.1111111111111112,0.6,0.6,1.1111111111111112,0.6,0.6,0.7777777777777778,0.6,0.6,0.6666666666666666,0.4,0.6,1.1111111111111112,0.6,0.6,0.6666666666666666
0.7,1.0,0.5,0.4,0.9,0.9,1.25,0.9,0.9,1.25,0.9,0.9,1.25,0.9,0.9,1.25,0.7,0.9,1.125,0.9,0.9,1.25
0.8,0.7,0.3,0.2,0.6,0.6,0.5882352941176471,0.6,0.6,0.5882352941176471,0.6,0.6,0.35294117647058826,0.6,0.6,0.4117647058823529,0.4,0.6,0.5882352941176471,0.9,0.9,0.5294117647058824
0.7,1.0,0.5,0.4,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,1.0,1.0,2.5,0.7,0.9,2.25,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,2.0,0.6,0.6,2.0,0.6,0.6,1.8,0.6,0.6,1.2,0.4,0.6,2.0,1.0,1.0,2.0
0.7,1.0,0.5,0.4,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,0.7,0.9,2.25,1.0,1.0,2.5
